timestamp,cpu_volt,cpu_curr,cpu_power,cpu_avg_power,gpu_volt,gpu_curr,gpu_power,gpu_avg_power,total_volt,total_curr,total_power,total_avg_power
2024-09-22 13:14:08,5024,536,2692,2782,5024,0,0,0,5032,872,4387,4369
2024-09-22 13:14:09,5016,576,2884,2833,5016,0,0,0,5024,920,4622,4495
2024-09-22 13:14:10,5048,520,2624,2728,5056,0,0,0,5064,744,3773,4134
2024-09-22 13:14:11,5016,576,2929,2828,5024,0,0,0,5024,888,4461,4297
2024-09-22 13:14:12,5000,640,3200,3014,5008,0,0,0,5008,944,4727,4512
2024-09-22 13:14:13,5000,632,3200,3107,5000,0,0,0,5008,960,4767,4639
2024-09-22 13:14:14,5016,608,3049,3078,5016,0,0,0,5024,904,4541,4590
2024-09-22 13:14:15,5120,240,1187,2132,5120,0,0,0,5128,520,2666,3628
2024-09-22 13:14:16,5024,568,2853,2492,5024,0,0,0,5032,872,4387,4007
2024-09-22 13:14:17,5008,592,2964,2728,5008,0,0,0,5016,928,4654,4330
2024-09-22 13:14:18,5016,584,2969,2848,5024,0,0,0,5024,888,4501,4415
2024-09-22 13:14:19,5008,592,2964,2906,5008,0,0,0,5016,920,4614,4514
2024-09-22 13:14:20,5016,584,2969,2937,5016,0,0,0,5016,912,4574,4544
2024-09-22 13:14:21,5000,632,3160,3048,5008,0,0,0,5008,944,4727,4635
2024-09-22 13:14:22,5000,632,3160,3104,5008,0,0,0,5008,944,4727,4681
2024-09-22 13:14:23,5032,520,2616,2860,5032,0,0,0,5032,872,4387,4534
2024-09-22 13:14:24,5016,600,3009,2934,5024,0,0,0,5024,896,4541,4537
2024-09-22 13:14:25,5120,248,1269,2101,5120,0,0,0,5120,528,2703,3620
2024-09-22 13:14:26,5008,600,3004,2552,5008,0,0,0,5016,928,4654,4137
2024-09-22 13:14:27,5016,576,2889,2720,5024,0,0,0,5024,912,4581,4359
2024-09-22 13:14:28,5016,600,3009,2864,5016,0,0,0,5024,904,4541,4450
2024-09-22 13:14:29,5016,568,2884,2874,5016,0,0,0,5016,920,4614,4532
2024-09-22 13:14:30,5016,616,3089,2981,5016,0,0,0,5024,920,4622,4577
2024-09-22 13:14:31,5008,600,2964,2972,5008,0,0,0,5016,920,4614,4595
2024-09-22 13:14:32,5024,552,2768,2870,5024,0,0,0,5024,920,4622,4608
